data;fechamento;abertura;maxima;minima;volume;variacao_pct
2006-01-02;33507;33462;33519;32860;72320000,0;0,15
2006-01-03;34541;33507;34563;33507;148380000,0;3,09
2006-01-04;35002;34540;35223;34540;147130000,0;1,33
2006-01-05;34936;35006;35088;34681;142070000,0;-0,19
2006-01-06;35475;35170;35529;34940;115090000,0;1,54
2006-01-09;35337;35475;35601;35108;108990000,0;-0,39
2006-01-10;35049;35338;35338;34686;136990000,0;-0,82
2006-01-11;35952;35050;35953;35050;147850000,0;2,58
2006-01-12;35779;35953;36286;35641;113640000,0;-0,48
2006-01-13;35897;35779;35951;35480;95440000,0;0,33
2006-01-16;36534;35897;36534;35891;63800000,0;1,77
2006-01-17;36119;36534;36534;35817;157510000,0;-1,14
2006-01-18;35805;36115;36115;35380;94830000,0;-0,87
2006-01-19;36858;35813;36979;35813;110280000,0;2,94
2006-01-20;36695;36857;36938;36432;124840000,0;-0,44
2006-01-23;36632;36687;36771;36213;104570000,0;-0,17
2006-01-24;37400;36632;37428;36632;108830000,0;2,1
2006-01-26;38014;37402;38031;37402;168270000,0;1,64
2006-01-27;37822;38018;38804;37688;146820000,0;-0,51
2006-01-30;38242;37824;38276;37501;103240000,0;1,11
2006-01-31;38383;38243;38456;37630;137330000,0;0,37
2006-02-01;38485;38382;38500;37886;263910000,00000003;0,27
2006-02-02;37304;38482;38508;37237;166780000,0;-3,07
2006-02-03;37262;37304;37609;36526;115440000,0;-0,11
2006-02-06;37321;37262;37776;37229;130710000,00000001;0,16
2006-02-07;36562;37320;37376;36556;111070000,0;-2,03
2006-02-08;36499;36553;36784;36183;142040000,0;-0,17
2006-02-09;36882;36501;37177;36501;199890000,0;1,05
2006-02-10;36975;36886;37813;36633;246050000,0;0,25
2006-02-13;36114;36975;37076;36114;130280000,0;-2,33
2006-02-14;36627;36117;36734;35891;157390000,0;1,42
2006-02-15;37239;36629;37447;36422;168410000,0;1,67
2006-02-16;38256;37245;38268;37245;176530000,0;2,73
2006-02-17;38422;38256;38642;38256;111940000,0;0,43
2006-02-20;38539;38418;38678;38032;73390000,0;0,3
2006-02-21;38166;38541;38978;38166;114120000,0;-0,97
2006-02-22;38246;38166;38633;38056;81860000,0;0,21
2006-02-23;38405;38242;38522;37747;110070000,0;0,42
2006-02-24;38610;38406;38610;38337;107630000,0;0,53
2006-03-01;39178;38610;39203;38533;79530000,0;1,47
2006-03-02;39126;39182;39367;38989;86850000,0;-0,13
2006-03-03;39240;39129;39356;38716;96080000,0;0,29
2006-03-06;38354;39241;39395;38348;125160000,0;-2,26
2006-03-07;37423;38350;38350;37130;150700000,0;-2,43
2006-03-08;37289;37421;37421;36446;139700000,0;-0,36
2006-03-09;36312;37289;37739;36084;112320000,0;-2,62
2006-03-10;36891;36328;37161;36218;82280000,0;1,59
2006-03-13;36793;36891;37259;36513;98370000,0;-0,27
2006-03-14;37541;36789;37541;36417;118400000,0;2,03
2006-03-15;38244;37546;38341;37543;144000000,0;1,87
2006-03-16;38157;38245;38578;37962;145580000,0;-0,23
2006-03-17;38049;38159;38268;37769;100440000,0;-0,28
2006-03-20;38204;38049;38500;37978;101770000,0;0,41
2006-03-21;37398;38204;38204;37351;134390000,0;-2,11
2006-03-22;37851;37398;37851;37156;104880000,0;1,21
2006-03-23;37474;37850;38128;37207;199640000,0;-1,0
2006-03-24;37577;37473;37775;37301;86830000,0;0,27
2006-03-27;37641;37577;37893;37153;122450000,0;0,17
2006-03-28;36682;37640;37731;36682;169630000,0;-2,55
2006-03-29;37492;36684;37492;36684;157240000,0;2,21
2006-03-30;37777;37493;38089;37469;114600000,0;0,76
2006-03-31;37952;37783;38016;37619;118950000,0;0,46
2006-04-03;38717;37952;38851;37952;95110000,0;2,02
2006-04-04;38802;38718;39086;38606;127330000,0;0,22
2006-04-05;39053;38803;39054;38475;158410000,0;0,65
2006-04-06;39285;39053;39310;38700;140740000,0;0,59
2006-04-07;38926;39285;39397;38630;169990000,0;-0,91
2006-04-10;38475;38927;38927;38239;120480000,0;-1,16
2006-04-11;37901;38478;38885;37823;137330000,0;-1,49
2006-04-12;38427;37901;38448;37816;177300000,0;1,39
2006-04-13;38082;38426;38479;37984;79020000,0;-0,9
2006-04-17;38462;38086;38698;38086;107050000,0;1,0
2006-04-18;39572;38466;39584;38466;134760000,0;2,89
2006-04-19;39938;39581;40026;39492;85190000,0;0,92
2006-04-20;39775;39941;40278;39435;120670000,0;-0,41
2006-04-24;39751;39775;40089;39616;84980000,0;-0,06
2006-04-25;39738;39753;39953;39577;72650000,0;-0,03
2006-04-26;40410;39739;40422;39739;104240000,0;1,69
2006-04-27;39751;40410;40410;39631;126510000,0;-1,63
2006-04-28;40363;39752;40425;39752;174160000,0;1,54
2006-05-02;41017;40365;41017;40277;121120000,0;1,62
2006-05-03;40920;41016;41068;40574;116270000,0;-0,24
2006-05-04;40976;40926;41258;40894;133380000,0;0,14
2006-05-05;41417;40976;41449;40976;141000000,0;1,08
2006-05-08;41515;41417;41693;41095;106210000,0;0,24
2006-05-09;41979;41505;42016;41446;349070000,0;1,12
2006-05-10;41752;41981;41985;41418;134100000,0;-0,54
2006-05-11;40847;41758;42062;40777;142970000,0;-2,17
2006-05-12;40212;40847;40862;40121;113590000,0;-1,55
2006-05-15;39271;39688;40209;38871;127760000,0;-2,34
2006-05-16;39416;39271;39953;38923;113940000,0;0,37
2006-05-17;38291;39411;39411;38099;214450000,0;-2,85
2006-05-18;37807;38290;38591;37807;184470000,0;-1,26
2006-05-19;37733;37820;38465;37325;210340000,0;-0,2
2006-05-22;36497;37732;37732;35664;233980000,0;-3,28
2006-05-23;36110;36498;37567;36099;211210000,0;-1,06
2006-05-24;35792;36104;36341;34911;191740000,0;-0,88
2006-05-25;37569;35794;37569;35794;157320000,0;4,96
2006-05-26;38630;37574;38630;37574;176940000,0;2,82
2006-05-29;38145;38634;38734;38055;32600000,0;-1,26
2006-05-30;36413;38149;38149;36413;143090000,0;-4,54
2006-05-31;36530;36414;37216;36362;188730000,0;0,32
2006-06-01;37748;36531;37748;36502;142620000,0;3,33
2006-06-02;37942;37750;38437;37411;180040000,0;0,51
2006-06-05;36740;37939;37976;36670;90080000,0;-3,17
2006-06-06;36558;36740;36740;35673;161540000,0;-0,5
2006-06-07;35264;36559;36771;35262;128220000,0;-3,54
2006-06-08;35438;35262;35608;34360;208850000,0;0,49
2006-06-09;35075;35438;36181;35075;78630000,0;-1,02
2006-06-12;33555;35083;35266;33537;131199999,99999999;-4,33
2006-06-13;32848;33535;33582;32824;151010000,0;-2,11
2006-06-14;32941;32848;33474;32057;253850000,0;0,28
2006-06-16;34399;32942;34543;32942;103570000,0;4,43
2006-06-19;33897;34407;34669;33549;93060000,0;-1,46
2006-06-20;33632;33897;34156;33568;84380000,0;-0,78
2006-06-21;34547;33632;34601;33216;103930000,0;2,72
2006-06-22;34317;34544;34714;34226;61810000,0;-0,67
2006-06-23;34661;34314;34864;33880;74790000,0;1,0
2006-06-26;34631;34663;34875;34584;87960000,0;-0,09
2006-06-27;34376;34631;35015;34368;65650000,00000001;-0,74
2006-06-28;34835;34374;34837;34349;93090000,0;1,34
2006-06-29;36487;34835;36487;34835;127970000,0;4,74
2006-06-30;36631;36487;37036;36359;121980000,0;0,39
2006-07-03;37357;36629;37402;36534;100360000,0;1,98
2006-07-04;37367;37358;37601;37188;65930000,00000001;0,03
2006-07-05;36378;37366;37366;36304;160320000,0;-2,65
2006-07-06;36533;36380;36993;36380;78520000,0;0,43
2006-07-07;36102;36541;36796;35850;85910000,0;-1,18
2006-07-10;36141;36107;36427;35863;63700000,0;0,11
